,MonovsEnpitu,MonovsSattunMina,MonovsYaduyaBurnum,MonovsKateTakakura,Monovsrandomagent,EnpituvsSattunMina,EnpituvsYaduyaBurnum,EnpituvsKateTakakura,Enpituvsrandomagent,SattunMinavsYaduyaBurnum,SattunMinavsKateTakakura,SattunMinavsrandomagent,YaduyaBurnumvsKateTakakura,YaduyaBurnumvsrandomagent,KateTakakuravsrandomagent
93,1,2,1,1,1,2,1,1,2,2,2,2,2,1,2
94,1,1,1,1,1,2,2,2,2,1,1,1,2,1,1
95,1,1,1,1,1,2,1,2,0,1,1,1,1,1,1
96,1,2,1,1,1,0,2,2,1,1,1,1,2,1,1
97,1,1,1,1,1,2,1,1,2,1,1,1,1,2,2
98,1,1,1,1,1,2,1,2,2,1,1,1,2,1,1
99,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1
100,1,1,1,1,1,2,2,1,1,1,1,1,1,2,2
101,1,1,1,1,2,2,1,1,2,2,2,2,2,2,2
102,1,1,1,1,1,0,2,1,1,1,1,1,0,1,2
103,1,1,1,1,1,1,2,1,2,2,2,2,1,2,1
104,1,1,1,1,1,2,2,2,1,1,1,1,0,1,2
105,1,2,1,1,1,2,1,2,2,1,1,1,2,0,1
106,1,1,1,1,1,1,2,2,2,1,1,0,1,2,1
107,1,1,1,1,1,2,1,1,2,1,1,0,2,1,2
108,1,1,1,1,1,2,1,1,1,1,2,1,1,2,1
109,1,2,1,2,1,2,2,1,2,2,1,1,2,1,2
110,1,1,1,2,1,0,1,1,1,1,2,1,1,0,1
111,1,2,1,1,1,2,1,2,2,2,1,1,2,1,2
112,1,1,1,1,1,2,2,2,1,1,1,1,1,1,2
113,1,1,1,1,1,1,1,1,2,1,1,1,0,1,1
114,1,2,1,1,1,2,1,1,1,2,2,2,1,2,2
115,1,1,1,1,1,2,2,1,2,1,2,1,0,1,1
116,1,0,1,1,1,2,2,2,2,1,1,2,1,1,2
117,1,1,1,1,1,2,2,1,2,2,1,1,1,1,1
118,1,2,1,1,1,2,2,1,1,1,1,1,1,1,2
119,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2
120,1,1,1,1,1,2,1,1,2,1,1,1,2,1,2
121,1,1,1,1,1,2,2,2,2,1,1,1,1,2,1
122,1,1,1,1,1,2,0,1,2,2,2,1,2,2,1
123,2,1,1,1,1,2,2,1,1,2,1,1,2,2,2
124,1,1,1,1,1,2,2,1,2,1,2,1,1,2,2
125,1,1,1,1,1,2,2,1,1,1,2,1,2,1,2
126,1,1,1,1,1,1,1,2,2,2,1,1,1,2,1
127,1,1,1,1,1,2,1,1,1,0,1,1,0,1,2
128,1,1,2,1,1,2,2,2,2,1,1,1,2,0,2
129,1,1,1,1,1,2,1,2,1,2,2,1,2,1,1
130,1,1,1,1,1,1,2,2,1,1,2,1,1,1,1
131,1,1,1,1,1,1,1,1,0,0,2,2,2,1,1
132,1,1,1,1,1,2,2,2,2,1,1,1,1,1,2
133,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1
134,1,1,1,1,1,1,1,1,2,1,1,2,1,2,2
135,1,1,1,1,1,2,2,1,2,1,2,2,2,1,2
136,1,1,1,1,1,2,2,1,1,1,1,1,1,2,1
137,1,1,1,1,1,2,2,1,1,1,2,1,1,1,1
138,1,1,1,1,1,2,2,1,2,2,2,1,2,2,2
139,1,1,1,1,1,2,1,1,2,0,2,2,2,1,2
140,1,1,1,1,1,2,1,1,2,1,2,1,2,1,1
141,1,1,1,1,1,2,2,2,2,0,2,2,1,2,2
142,1,1,1,1,1,2,1,2,2,1,1,1,2,1,1
143,1,1,1,1,1,2,2,1,2,1,1,2,2,1,2
144,1,1,1,1,1,2,1,2,2,1,1,1,1,1,1
145,1,1,1,1,1,1,1,1,1,0,0,2,2,1,1
146,1,1,1,2,1,2,2,2,2,1,1,1,2,1,2
147,1,1,1,1,1,2,2,1,1,1,2,1,2,1,2
148,1,1,1,1,1,0,2,2,2,1,1,1,1,2,1
149,1,1,1,1,1,2,2,1,2,0,1,1,2,1,1
150,1,1,1,1,1,1,2,1,2,1,1,1,2,2,2
151,1,1,1,1,1,2,1,2,2,1,1,1,2,2,2
152,1,1,1,1,0,2,2,1,2,1,2,2,2,1,1
